line,filename,lines,type,character,text
0,pro2.txt,368,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,G'evening.
3,undefined,undefined,dialogue,Dana,Day 2 of serving dogs. Are you ready?!
4,undefined,undefined,dialogue,Jill,No.
5,undefined,undefined,dialogue,Dana,Cheer up!
6,undefined,undefined,dialogue,Jill,No.
7,undefined,undefined,dialogue,Dana,That attitude won't make things easier for yourself.
8,undefined,undefined,dialogue,Jill,Serving dogs won't ease things either.
9,undefined,undefined,dialogue,Jill,Have you heard anything from Gil?
10,undefined,undefined,dialogue,Dana,"Nope, but he should be having fun wherever he is."
11,undefined,undefined,dialogue,Dana,"Also, did you know we had darts?"
12,undefined,undefined,dialogue,Jill,"Yeah, I did."
13,undefined,undefined,dialogue,Dana,Why didn't you tell me?!
14,undefined,undefined,dialogue,Jill,Because that's the kind of stuff you should just assume.
15,undefined,undefined,dialogue,Jill,A target board usually comes with a set of darts.
16,undefined,undefined,dialogue,Jill,"Do you like darts, Boss?"
17,undefined,undefined,dialogue,Dana,"Not particularly, but now I owe an apology to someone."
18,undefined,undefined,dialogue,Jill,...?
19,undefined,undefined,dialogue,Dana,"Anyway, call me if you need anything."
20,undefined,undefined,dialogue,Jill,S-Sure.
21,undefined,undefined,dialogue,Jill,"Well, then..."
22,undefined,undefined,dialogue,Jill,Time to mix drinks and change lives.
23,undefined,undefined,dialogue,Betty,"Oh, hey. Can I have a big Beer, please?"
24,undefined,undefined,dialogue,Jill,"(Thank god, a human.)"
25,undefined,undefined,dialogue,Jill,Sure. Coming right up.
26,undefined,undefined,dialogue,Jill,Here.
27,undefined,undefined,dialogue,Betty,Thank you.
28,undefined,undefined,dialogue,Jill,Here.
29,undefined,undefined,dialogue,Betty,"This isn't big like I asked for, but whatever..."
30,undefined,undefined,dialogue,Jill,Here.
31,undefined,undefined,dialogue,Betty,You sure you know what a beer is?
32,undefined,undefined,dialogue,Jill,"Sorry, I'm out of my groove."
33,undefined,undefined,dialogue,Jill,"May I ask what do you do for these dogs, Miss... um..."
34,undefined,undefined,dialogue,Betty,"Beatrice, but everyone calls me Betty."
