line,filename,lines,type,character,text
0,script2.txt,1067,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,G'evening.
3,undefined,undefined,dialogue,Dana,Hey Jill...
4,undefined,undefined,dialogue,Jill,...
5,undefined,undefined,dialogue,Jill,BWAH!!
6,undefined,undefined,dialogue,Dana,That's a sound you don't hear every day.
7,undefined,undefined,dialogue,Jill,B-Boss? What are you doing with that helmet?
8,undefined,undefined,dialogue,Dana,I was just about to ask you where it came from.
9,undefined,undefined,dialogue,Jill,A White Knight came yesterday. She left and... well... she forgot to take it with her.
10,undefined,undefined,dialogue,Jill,I figured she'd eventually come looking for it so I left it under the count-... wait.
11,undefined,undefined,dialogue,Jill,Do you regularly put things on without asking who they belong to first?
12,undefined,undefined,dialogue,Dana,"I don't plan and evaluate every move, Jill... I just act."
13,undefined,undefined,dialogue,Dana,"Anyway, as your boss, I'm taking this helmet until the client comes for it."
14,undefined,undefined,dialogue,Jill,You sound happy.
15,undefined,undefined,dialogue,Dana,"Well, this helmet is comfortable. And cool. And comfortable, and cool, and... and really, really cool."
16,undefined,undefined,dialogue,Gillian,'ello...
17,undefined,undefined,dialogue,Dana,"It's strange that you're late, Gil."
18,undefined,undefined,dialogue,Gillian,"Yeah, the traffic was... GAH!"
19,undefined,undefined,dialogue,Dana,Don't run! You have work to do!
20,undefined,undefined,dialogue,Gillian,I'M NOT GOING BACK TO HONG KONG!!!
21,undefined,undefined,dialogue,Dana,Hong Kong?
22,undefined,undefined,dialogue,Gillian,C-Chief?
23,undefined,undefined,dialogue,Gillian,"S-Sorry, I thought you were someone else."
24,undefined,undefined,dialogue,Dana,Apparently.
25,undefined,undefined,dialogue,Dana,I'll leave the rest up to you. I'll detonate the Pluto Warhead somewhere safe.
26,undefined,undefined,dialogue,Jill,The what where now?
27,undefined,undefined,dialogue,Dana,Nothing. Nevermind.
28,undefined,undefined,dialogue,Gillian,She seems happy.
29,undefined,undefined,dialogue,Jill,"She's been tense these past couple of days. If she's somehow relaxed now, good."
30,undefined,undefined,dialogue,Jill,Are you all set?
31,undefined,undefined,dialogue,Gillian,Yup.
32,undefined,undefined,dialogue,Jill,Alright.
33,undefined,undefined,dialogue,Jill,Time to mix drinks and cha-...
34,undefined,undefined,dialogue,Kim,YOUUUUUUUUUUUUUUUUUUUUUUUU!!
35,undefined,undefined,dialogue,Jill,"Oh, Miss Kim."
36,undefined,undefined,dialogue,Kim,Because of you I got up late and lost a full day of work! And on the day everyone got a nifty assignment too!
37,undefined,undefined,dialogue,Jill,Wait. Because of me?
38,undefined,undefined,dialogue,Kim,You were the one that got me drunk and made me fall asleep like a goddamn log!
39,undefined,undefined,dialogue,Jill,So you arrived home safely. That's nice.
40,undefined,undefined,dialogue,Kim,T-That's all you have to say?!
41,undefined,undefined,dialogue,Jill,What do you want me to say?
42,undefined,undefined,dialogue,Jill,"If I felt remorse over every client that gets drunk in here, I wouldn't be working."
43,undefined,undefined,dialogue,Kim,B-But...!
44,undefined,undefined,dialogue,Jill,"True. Morally speaking, I shouldn't let people get drunk."
45,undefined,undefined,dialogue,Jill,But getting people drunk IS the unspoken main purpose of my job.
46,undefined,undefined,dialogue,Jill,"And I did say that I didn't know how much alcohol you could handle, didn't I?"
47,undefined,undefined,dialogue,Kim,I... AGH!
48,undefined,undefined,dialogue,Kim,"Seriously, what kind of answer is THAT?!"
49,undefined,undefined,dialogue,Kim,Ugh... Hello Mr. Donovan.
50,undefined,undefined,dialogue,Mr. Donovan,Do I know you?
51,undefined,undefined,dialogue,Jill,Time to mix drinks and change lives.
52,undefined,undefined,dialogue,Mr. Donovan,"Hey, brat. You're in luck! I decided to bless this place again."
53,undefined,undefined,dialogue,Jill,(Luck he says...)
54,undefined,undefined,dialogue,Jill,"Oh, Mr. Donovan. Welcome to Valhalla. What can I get you?"
55,undefined,undefined,dialogue,Mr. Donovan,"What do you think I want, kid?"
56,undefined,undefined,dialogue,Jill,...
57,undefined,undefined,dialogue,Jill,Here.
58,undefined,undefined,dialogue,Mr. Donovan,Close. Partial credit.
59,undefined,undefined,dialogue,Jill,...
60,undefined,undefined,dialogue,Jill,Here you go.
61,undefined,undefined,dialogue,Mr. Donovan,"Yes. Now, that's what I call service!"
62,undefined,undefined,dialogue,Jill,That's good to hear.
63,undefined,undefined,dialogue,Jill,(He wanted his fucking Beer! How could I mess this one up?!)
64,undefined,undefined,dialogue,Jill,H-Here...
65,undefined,undefined,dialogue,Mr. Donovan,"I'll take it, but there's no credit for trying."
66,undefined,undefined,dialogue,Jill,...
67,undefined,undefined,dialogue,Jill,Here.
68,undefined,undefined,dialogue,Mr. Donovan,"Aaaand, wrong. Sorry, kid. Better luck next time."
69,undefined,undefined,dialogue,Jill,(At least he didn't ask me to redo it.)
70,undefined,undefined,dialogue,Jill,"What brings you here today, Mr. Donovan?"
71,undefined,undefined,dialogue,Mr. Donovan,"Today, we were supposed to hand the interns an article topic."
72,undefined,undefined,dialogue,Mr. Donovan,All those crazy bitches came flocking to me like the first high schooler with a car.
73,undefined,undefined,dialogue,Mr. Donovan,"I couldn't deal with it, so I switched places with some poor sap."
74,undefined,undefined,dialogue,Mr. Donovan,"He was supposed to be doing an interview today, but to hell with that."
75,undefined,undefined,dialogue,Mr. Donovan,"And thanks to all that shit, I found myself here, blessing your hell hole with my presence."
76,undefined,undefined,dialogue,Jill,You were here yesterday too. How did that come about?
77,undefined,undefined,dialogue,Mr. Donovan,There's this gal that's performing at a concert later tonight.
78,undefined,undefined,dialogue,Mr. Donovan,"Yesterday, I was tuning the details of the interview I'd have with her today."
79,undefined,undefined,dialogue,Mr. Donovan,"And like I said, I'd rather work here than deal with a pack of competitive bitches."
80,undefined,undefined,dialogue,Jill,I see.
81,undefined,undefined,dialogue,Jill,How was the interview?
82,undefined,undefined,dialogue,Mr. Donovan,Easy enough. The fact that the gal had a nice pair of knockers helped.
83,undefined,undefined,dialogue,Mr. Donovan,"We've come a long way in the department of Lilim sex appeal, I tell you."
84,undefined,undefined,dialogue,Jill,She was a Lilim then?
85,undefined,undefined,dialogue,Mr. Donovan,"Yes, one of those new fancy King-Class CH1A models."
86,undefined,undefined,dialogue,Mr. Donovan,I've heard they're anatomically correct in every way.
87,undefined,undefined,dialogue,Mr. Donovan,I wouldn't mind finding out about that myself.
88,undefined,undefined,dialogue,Mr. Donovan,"Hm? Hey, you! The guy with a John face."
89,undefined,undefined,dialogue,Gillian,Huh? Me?
90,undefined,undefined,dialogue,Gillian,"What the hell is a ""John Face?"""
