line,filename,lines,type,character,text
0,script9.txt,703,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,G'evening.
3,undefined,undefined,dialogue,Dana,"Ah, Jill. Good timing."
4,undefined,undefined,dialogue,Jill,Is it? You two always make me feel like I'm late.
5,undefined,undefined,dialogue,Dana,"If it helps, that dog isn't coming until some time later."
6,undefined,undefined,dialogue,Dana,"Anyway, do you have something planned for Sunday?"
7,undefined,undefined,dialogue,Jill,Watch silly Mega Christmas specials with 1000 grams of black fur on my lap. Why?
8,undefined,undefined,dialogue,Dana,I was thinking about holding a small Mega Christmas party here this Sunday. You in?
9,undefined,undefined,dialogue,Jill,Sure. Why not?
10,undefined,undefined,dialogue,Dana,Alright!
11,undefined,undefined,dialogue,Dana,Invite any client you're acquainted with. The more the merrier.
12,undefined,undefined,dialogue,Gillian,You didn't bring your cat today?
13,undefined,undefined,dialogue,Jill,The raids stopped. They found whatever or whoever they were looking for.
14,undefined,undefined,dialogue,Gillian,Huh...
15,undefined,undefined,dialogue,Jill,"Anyways, we better start working."
16,undefined,undefined,dialogue,Dana,"Yeah, you better."
17,undefined,undefined,dialogue,Jill,Time to mix drinks and change lives.
18,undefined,undefined,dialogue,Jill,Welcome to Valha-...
19,undefined,undefined,dialogue,Jill,...
20,undefined,undefined,dialogue,Norma,Uh... um...
21,undefined,undefined,dialogue,Jill,...
22,undefined,undefined,dialogue,Norma,I want... a... Fluffy Dream.
23,undefined,undefined,dialogue,Jill,...
24,undefined,undefined,dialogue,Jill,"May I see your ID, please?"
25,undefined,undefined,dialogue,Norma,I don't have an ID because... um...
26,undefined,undefined,dialogue,Norma,I'm the ghost of Mega Christmas Past!
27,undefined,undefined,dialogue,Norma,I'll haunt you constantly unless you give me a Fluffy Dream.
28,undefined,undefined,dialogue,Jill,Do you have money to pay for the drinks?
29,undefined,undefined,dialogue,Norma,"Well, I..."
30,undefined,undefined,dialogue,Jill,DO YOU?
31,undefined,undefined,dialogue,Norma,Yes! I-I have money.
32,undefined,undefined,dialogue,Jill,...
33,undefined,undefined,dialogue,Jill,Here you go.
34,undefined,undefined,dialogue,Norma,"Wow, I actually got a drink!"
35,undefined,undefined,dialogue,Jill,...
36,undefined,undefined,dialogue,Jill,Here.
37,undefined,undefined,dialogue,Norma,Eugh... this... tastes like butt.
38,undefined,undefined,dialogue,Jill,...
39,undefined,undefined,dialogue,Jill,"So, who are you here to stalk, Miss Ghost of Mega Christmas Past?"
40,undefined,undefined,dialogue,Norma,Stalk? Oh right! I'm a ghost.
41,undefined,undefined,dialogue,Norma,Uh... that guy! Yeah.
42,undefined,undefined,dialogue,Jill,"Which employee did you leave without a Mega Christmas, Gil?"
43,undefined,undefined,dialogue,Gillian,"Jill, please."
44,undefined,undefined,dialogue,Jill,(It would've been funny if he reacted to that.)
45,undefined,undefined,dialogue,Jill,"Sorry kid, I'm not in the mood to humor you today unless you have some sort of ID."
46,undefined,undefined,dialogue,Norma,...here.
47,undefined,undefined,dialogue,Jill,"...well, in a year or so, I would gladly serve you a drink."
48,undefined,undefined,dialogue,Jill,"But until then, this is no place for you."
49,undefined,undefined,dialogue,Norma,But I already got a drink!
50,undefined,undefined,dialogue,Jill,A non-alcoholic one.
51,undefined,undefined,dialogue,Jill,"You didn't expect me to really give you a drink, right?"
52,undefined,undefined,dialogue,Norma,Uh...
53,undefined,undefined,dialogue,Jill,"No, because you barely took a sip of the drink I made for myself."
54,undefined,undefined,dialogue,Jill,You felt like a good samaritan and offered me to buy it from me so it's not deducted from my pay.
55,undefined,undefined,dialogue,Jill,"Isn't that right, Gil?"
56,undefined,undefined,dialogue,Gillian,Yup.
57,undefined,undefined,dialogue,Norma,Hey!
58,undefined,undefined,dialogue,Jill,"I mean, if you ordered a drink, you could report me but you would have to admit to ordering it."
59,undefined,undefined,dialogue,Jill,And that would bring you a different array of problems.
60,undefined,undefined,dialogue,Norma,...oh.
61,undefined,undefined,dialogue,Jill,"So, if you would please leave..."
62,undefined,undefined,dialogue,Norma,I-I can't leave! Not after trying so hard to even get here.
63,undefined,undefined,dialogue,Jill,...
64,undefined,undefined,dialogue,Jill,*sigh*
65,undefined,undefined,dialogue,Jill,"Alright, let's start from the beginning, Miss... Norma."
66,undefined,undefined,dialogue,Norma,How did you know my name?
67,undefined,undefined,dialogue,Jill,I saw your ID.
68,undefined,undefined,dialogue,Norma,It could've been a fake ID.
69,undefined,undefined,dialogue,Jill,I don't think you're stupid enough to make a fake ID that DOESN'T put you at 18 at the very least.
70,undefined,undefined,dialogue,Norma,...!
71,undefined,undefined,dialogue,Norma,"You're very sharp, Miss Bartender."
